dgs;Date added to Report;Traveler: Project;Rosetta Assigned Project;Rosetta State;IDX Assigned Project;imageset;Project State;Active Project Count;Projects with no Imageset workflow
007380604;2021-01-04 10:33:15;19-0418: Italy, Ascoli Piceno, Civil Registration, 1808-1865 (DGA Project) - FSI;[Italy (Italian Ancestors), Ascoli Piceno—Civil Registration, 1808–1865 \[Part A\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/DD72276D-3E10-4633-BA69-351E2711ABA4/overview];In Production;;79CAA9DD-4637-453D-8C9E-5914DBFBAE2E;;
007380653;2021-01-04 10:33:15;19-0418: Italy, Ascoli Piceno, Civil Registration, 1808-1865 (DGA Project) - FSI;[Italy (Italian Ancestors), Ascoli Piceno—Civil Registration, 1808–1865 \[Part A\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/DD72276D-3E10-4633-BA69-351E2711ABA4/overview];In Production;;F5DFB9E5-BC9E-4A67-97F3-03E25CE620E1;;
007380656;2021-01-04 10:33:15;19-0418: Italy, Ascoli Piceno, Civil Registration, 1808-1865 (DGA Project) - FSI;[Italy (Italian Ancestors), Ascoli Piceno—Civil Registration, 1808–1865 \[Part A\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/DD72276D-3E10-4633-BA69-351E2711ABA4/overview];In Production;;753FE95A-BB99-4DCC-95E4-03BADAE51F51;;
007380661;2021-01-04 10:33:15;19-0418: Italy, Ascoli Piceno, Civil Registration, 1808-1865 (DGA Project) - FSI;[Italy (Italian Ancestors), Ascoli Piceno—Civil Registration, 1808–1865 \[Part A\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/DD72276D-3E10-4633-BA69-351E2711ABA4/overview];In Production;;D423DD71-A005-40CF-ADDD-CA78C23C1CCC;;
007380667;2021-01-04 10:33:15;19-0418: Italy, Ascoli Piceno, Civil Registration, 1808-1865 (DGA Project) - FSI;[Italy (Italian Ancestors), Ascoli Piceno—Civil Registration, 1808–1865 \[Part A\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/DD72276D-3E10-4633-BA69-351E2711ABA4/overview];In Production;;AF021E7D-C8FE-4A7E-B46A-661923AC7940;;
007380712;2021-01-04 10:33:15;19-0418: Italy, Ascoli Piceno, Civil Registration, 1808-1865 (DGA Project) - FSI;[Italy (Italian Ancestors), Ascoli Piceno—Civil Registration, 1808–1865 \[Part A\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/DD72276D-3E10-4633-BA69-351E2711ABA4/overview];In Production;;DD514A1B-3B0D-4E9F-9FC4-45940EFE91BA;;
007380718;2021-01-04 10:33:15;19-0418: Italy, Ascoli Piceno, Civil Registration, 1808-1865 (DGA Project) - FSI;[Italy (Italian Ancestors), Ascoli Piceno—Civil Registration, 1808–1865 \[Part A\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/DD72276D-3E10-4633-BA69-351E2711ABA4/overview];In Production;;3ECBCEF9-DFAC-4891-8CA3-BE67BDB2B7B8;;
007380720;2021-01-04 10:33:15;19-0418: Italy, Ascoli Piceno, Civil Registration, 1808-1865 (DGA Project) - FSI;[Italy (Italian Ancestors), Ascoli Piceno—Civil Registration, 1808–1865 \[Part A\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/DD72276D-3E10-4633-BA69-351E2711ABA4/overview];In Production;;0BA85F8C-A219-43E4-A50D-0A7B9067A808;;
007380743;2021-01-04 10:33:15;19-0418: Italy, Ascoli Piceno, Civil Registration, 1808-1865 (DGA Project) - FSI;[Italy (Italian Ancestors), Ascoli Piceno—Civil Registration, 1808–1865 \[Part A\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/DD72276D-3E10-4633-BA69-351E2711ABA4/overview];In Production;;B4D9E9B6-0427-44B7-80EF-F280EB058E11;;
007380910;2021-01-04 10:33:15;19-0418: Italy, Ascoli Piceno, Civil Registration, 1808-1865 (DGA Project) - FSI;[Italy (Italian Ancestors), Ascoli Piceno—Civil Registration, 1808–1865 \[Part A\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/DD72276D-3E10-4633-BA69-351E2711ABA4/overview];In Production;;2EE94076-282E-4E24-9F5C-49D0DB32A272;;
