project UUID;name;count;state
[C4084CEF-8A80-4C33-A83A-578420ABC0A3];[Philippines—Marriage Records, 1945–1987 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/C4084CEF-8A80-4C33-A83A-578420ABC0A3/overview];1;ACTIVE
[7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7];[US, Iowa, Monroe County—Vital Records Card Index, Deaths, 1900–2015|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/overview];1;READY_FOR_DELIVERY
[831FDF3A-3E4A-4768-A799-FD8ABEE2101A];[US, New York, Kings and Richmond—Index to Land Records, Grantors, 1630-1975 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/overview];1;READY_FOR_DELIVERY
[00CA52AC-F7D5-480D-8A42-242C981F43D9];[US, Ohio—County Births, 1849–1985 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/00CA52AC-F7D5-480D-8A42-242C981F43D9/overview];1;ACTIVE
[98D490FA-2E58-4732-AD89-714D68562CA7];[US, Delaware—Marriage Records, Brides Indexes, 1750–1990 \[Part G\]|https://www.familysearch.org/indexing/admin-new/#/projects/98D490FA-2E58-4732-AD89-714D68562CA7/overview];1;READY_FOR_DELIVERY
[47700494-5076-4222-B225-39438E59F6A1];[República Dominicana—Registro civil, Defunciones, 1838–1984 \[Part C\]|https://www.familysearch.org/indexing/admin-new/#/projects/47700494-5076-4222-B225-39438E59F6A1/overview];1;ACTIVE
[2C401FC1-902B-436D-98E2-CFD27EFC063E];[US—Obituaries, 1980–2014 \[Part 2AR\]|https://www.familysearch.org/indexing/admin-new/#/projects/2C401FC1-902B-436D-98E2-CFD27EFC063E/overview];1;READY_FOR_DELIVERY
[06660EB2-3409-4817-8124-84FA2CCFB5DE];[South Africa, Transvaal—Marriage Records, 1870–1930|https://www.familysearch.org/indexing/admin-new/#/projects/06660EB2-3409-4817-8124-84FA2CCFB5DE/overview];1;READY_FOR_DELIVERY
[0F843913-1E4F-4997-BB74-13F9495027E1];[Italy (Antenati Italiani), Grosseto—Civil Registration, Births, 1866–1899|https://www.familysearch.org/indexing/admin-new/#/projects/0F843913-1E4F-4997-BB74-13F9495027E1/overview];1;ACTIVE
[44B24833-E165-498F-B781-E2E89F2D4B30];[España, La Coruña, Riveira—Censo municipal, 1862–1960|https://www.familysearch.org/indexing/admin-new/#/projects/44B24833-E165-498F-B781-E2E89F2D4B30/overview];1;ACTIVE
[43A9392F-2CD4-428E-A280-1B06BD080AAF];[Italy (Antenati Italiani), Rome—Civil Registration, 1867–1929 \[Part E\]|https://www.familysearch.org/indexing/admin-new/#/projects/43A9392F-2CD4-428E-A280-1B06BD080AAF/overview];1;ACTIVE
[A05A206D-7A0D-4647-B29D-6B7438AA610A];[Deutschland, Westfalen, Minden—Zivilstandsregister und Kirchenbuchauszüge, 1774–1873 \[Teil B\]|https://www.familysearch.org/indexing/admin-new/#/projects/A05A206D-7A0D-4647-B29D-6B7438AA610A/overview];1;ACTIVE
[451E07EB-FD46-4F8E-A508-FC3BE5CA70BF];[US—Veterans Administration Master Index, World War I, 1861–1940|https://www.familysearch.org/indexing/admin-new/#/projects/451E07EB-FD46-4F8E-A508-FC3BE5CA70BF/overview];1;READY_FOR_DELIVERY
[F133C8EB-DE65-4457-9E8A-530CC99B77FD];[Philippines, Camarines Sur, Caceres—Registros Parroquiales, 1716–1977 \[Parte B\]|https://www.familysearch.org/indexing/admin-new/#/projects/F133C8EB-DE65-4457-9E8A-530CC99B77FD/overview];1;ACTIVE
[7DF5BA49-7CBA-439D-912A-21214A116D61];[US—Canadian Border Crossings, 1894–1954|https://www.familysearch.org/indexing/admin-new/#/projects/7DF5BA49-7CBA-439D-912A-21214A116D61/overview];1;READY_FOR_DELIVERY
[7A308876-A667-4411-A7B0-44C33C600351];[Norge—Tinglysningskort, 1640–1903 \[Del C\]|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/overview];1;ACTIVE
