Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE: 1;
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 926;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 926;
ReportItem instance counts;;BATCH_HAS_TOO_MANY_IMAGES: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_BATCHES_WITH_TOO_MANY_IMAGES: 1;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 762;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 926;
ReportItem instance counts;;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL: 1;
345DCFE9-9F57-4D5F-B7A1-721E795B6A23;IMAGESET;IMAGESET_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/DAA0FAD2-D330-4708-93F9-095721623C1A/manage/345DCFE9-9F57-4D5F-B7A1-721E795B6A23/batches/list]
2FCB9DCC-B5CA-4F1D-83F7-5EE8AEC61D8E;BATCH;BATCH_HAS_TOO_MANY_IMAGES;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/DAA0FAD2-D330-4708-93F9-095721623C1A/manage/BA09FF96-4F7A-49A0-95F3-F6C39A592BFE/batches/2FCB9DCC-B5CA-4F1D-83F7-5EE8AEC61D8E]
DAA0FAD2-D330-4708-93F9-095721623C1A;PROJECT;PROJECT_BATCHES_WITH_TOO_MANY_IMAGES \\ PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL \\ PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL \\ PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/DAA0FAD2-D330-4708-93F9-095721623C1A/overview]
104239245_00502 (imageset: 345DCFE9-9F57-4D5F-B7A1-721E795B6A23);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/DAA0FAD2-D330-4708-93F9-095721623C1A/manage/345DCFE9-9F57-4D5F-B7A1-721E795B6A23/batches/E77517B3-C4FC-45CA-BAE8-266A8CDEA50C]
