Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 27;
008616592_00471 (imageset: 609B74F1-02E9-4F9A-B648-52DDF5407EEA);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F3C1910-E253-4A4C-934E-48B588256EE2/manage/609B74F1-02E9-4F9A-B648-52DDF5407EEA/batches/E5EBA3F1-BED9-4C8A-9CBB-2CFD7BCE5F4C]
008616591_00814 (imageset: 82F0C5CA-94B4-4A1B-A544-C5175F170CD0);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F3C1910-E253-4A4C-934E-48B588256EE2/manage/82F0C5CA-94B4-4A1B-A544-C5175F170CD0/batches/48D66474-FC39-4223-94DD-1A79A71D14CC]
008616591_00616 (imageset: 82F0C5CA-94B4-4A1B-A544-C5175F170CD0);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F3C1910-E253-4A4C-934E-48B588256EE2/manage/82F0C5CA-94B4-4A1B-A544-C5175F170CD0/batches/37825C53-C9A8-443C-B65E-9A2E7C6691B2]
008616591_00418 (imageset: 82F0C5CA-94B4-4A1B-A544-C5175F170CD0);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F3C1910-E253-4A4C-934E-48B588256EE2/manage/82F0C5CA-94B4-4A1B-A544-C5175F170CD0/batches/B56521C1-D8B9-4C91-865E-30D213638530]
008616591_00656 (imageset: 82F0C5CA-94B4-4A1B-A544-C5175F170CD0);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F3C1910-E253-4A4C-934E-48B588256EE2/manage/82F0C5CA-94B4-4A1B-A544-C5175F170CD0/batches/721315C1-9667-4892-8F20-9FD7DB2F1A05]
008616591_00414 (imageset: 82F0C5CA-94B4-4A1B-A544-C5175F170CD0);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F3C1910-E253-4A4C-934E-48B588256EE2/manage/82F0C5CA-94B4-4A1B-A544-C5175F170CD0/batches/1E19A164-BA09-4412-B00E-7BB7EE9DE223]
008616591_00610 (imageset: 82F0C5CA-94B4-4A1B-A544-C5175F170CD0);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F3C1910-E253-4A4C-934E-48B588256EE2/manage/82F0C5CA-94B4-4A1B-A544-C5175F170CD0/batches/4AB91C49-BB4A-43A5-A9C5-191C4CEF3A17]
008616591_00137 (imageset: 82F0C5CA-94B4-4A1B-A544-C5175F170CD0);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F3C1910-E253-4A4C-934E-48B588256EE2/manage/82F0C5CA-94B4-4A1B-A544-C5175F170CD0/batches/4FA5B210-E815-49E0-98E5-7DB7D635918D]
008616591_00233 (imageset: 82F0C5CA-94B4-4A1B-A544-C5175F170CD0);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F3C1910-E253-4A4C-934E-48B588256EE2/manage/82F0C5CA-94B4-4A1B-A544-C5175F170CD0/batches/8192C260-9521-4E09-A4B5-3FDFD56DA3E1]
008616592_00759 (imageset: 609B74F1-02E9-4F9A-B648-52DDF5407EEA);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F3C1910-E253-4A4C-934E-48B588256EE2/manage/609B74F1-02E9-4F9A-B648-52DDF5407EEA/batches/D15B35D7-9E9E-4D28-8887-985A202B222C]
008616591_00792 (imageset: 82F0C5CA-94B4-4A1B-A544-C5175F170CD0);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F3C1910-E253-4A4C-934E-48B588256EE2/manage/82F0C5CA-94B4-4A1B-A544-C5175F170CD0/batches/FDB90B26-ECA0-473E-BBB3-6E830AD06ED3]
008616591_00396 (imageset: 82F0C5CA-94B4-4A1B-A544-C5175F170CD0);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F3C1910-E253-4A4C-934E-48B588256EE2/manage/82F0C5CA-94B4-4A1B-A544-C5175F170CD0/batches/515E81CD-9D21-4FA3-A1B9-4BD28C2C6135]
008616591_00573 (imageset: 82F0C5CA-94B4-4A1B-A544-C5175F170CD0);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F3C1910-E253-4A4C-934E-48B588256EE2/manage/82F0C5CA-94B4-4A1B-A544-C5175F170CD0/batches/B216E295-7291-4894-9E38-B228C935CAEA]
008616591_00177 (imageset: 82F0C5CA-94B4-4A1B-A544-C5175F170CD0);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F3C1910-E253-4A4C-934E-48B588256EE2/manage/82F0C5CA-94B4-4A1B-A544-C5175F170CD0/batches/F895B8C8-57BA-4080-8EEE-64C8DF8B9DEF]
008616591_00175 (imageset: 82F0C5CA-94B4-4A1B-A544-C5175F170CD0);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/9F3C1910-E253-4A4C-934E-48B588256EE2/manage/82F0C5CA-94B4-4A1B-A544-C5175F170CD0/batches/C3B62E49-8C93-40B8-83CF-BC1B202A2747]
