dgs;Date added to Report;Traveler: Project;Rosetta Assigned Project;Rosetta State;IDX Assigned Project;imageset;Project State;Projects with no Imageset workflow
004552548;2020-10-22 13:57:23;16-0019: Dominican Republic, Civil Registration, Deaths, 1838-2015 - FSI \\ 16-0019: Dominican Republic, Civil Registration, Deaths, 1838-2015 - FSI;[Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part G\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/overview];In Production;[Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part E\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A0C2B61C-368F-4A6C-A421-B85F90635A4E/overview] \\ [Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part G\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/overview];[FEBBBC35-D496-4CDD-A933-54CC4F0E2859|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A0C2B61C-368F-4A6C-A421-B85F90635A4E/manage/FEBBBC35-D496-4CDD-A933-54CC4F0E2859/batches/list] \\ [FEBBBC35-D496-4CDD-A933-54CC4F0E2859|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/manage/FEBBBC35-D496-4CDD-A933-54CC4F0E2859/batches/list];READY_FOR_WORK \\ TEST;
004552589;2020-10-22 13:57:23;16-0019: Dominican Republic, Civil Registration, Deaths, 1838-2015 - FSI \\ 16-0019: Dominican Republic, Civil Registration, Deaths, 1838-2015 - FSI;[Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part G\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/overview];In Production;[Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part E\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A0C2B61C-368F-4A6C-A421-B85F90635A4E/overview] \\ [Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part G\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/overview];[075AA6D4-1756-4BE6-835A-62319FE92D7B|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A0C2B61C-368F-4A6C-A421-B85F90635A4E/manage/075AA6D4-1756-4BE6-835A-62319FE92D7B/batches/list] \\ [075AA6D4-1756-4BE6-835A-62319FE92D7B|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/manage/075AA6D4-1756-4BE6-835A-62319FE92D7B/batches/list];READY_FOR_WORK \\ TEST;
004552594;2020-10-22 13:57:23;16-0019: Dominican Republic, Civil Registration, Deaths, 1838-2015 - FSI \\ 16-0019: Dominican Republic, Civil Registration, Deaths, 1838-2015 - FSI;[Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part G\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/overview];In Production;[Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part G\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/overview] \\ [Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part F\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/overview];[8F33607D-EF68-4EC0-8FBD-0A408DAF55F0|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/manage/8F33607D-EF68-4EC0-8FBD-0A408DAF55F0/batches/list] \\ [8F33607D-EF68-4EC0-8FBD-0A408DAF55F0|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/manage/8F33607D-EF68-4EC0-8FBD-0A408DAF55F0/batches/list];TEST \\ ACTIVE;
004552597;2020-10-22 13:57:23;16-0019: Dominican Republic, Civil Registration, Deaths, 1838-2015 - FSI \\ 16-0019: Dominican Republic, Civil Registration, Deaths, 1838-2015 - FSI;[Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part G\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/overview];In Production;[Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part G\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/overview] \\ [Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part F\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/overview];[67C7BE6E-D77A-48E7-978C-027ECD7AF4A4|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/manage/67C7BE6E-D77A-48E7-978C-027ECD7AF4A4/batches/list] \\ [67C7BE6E-D77A-48E7-978C-027ECD7AF4A4|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/manage/67C7BE6E-D77A-48E7-978C-027ECD7AF4A4/batches/list];TEST \\ ACTIVE;
004552987;2020-10-22 13:57:23;16-0019: Dominican Republic, Civil Registration, Deaths, 1838-2015 - FSI \\ 16-0019: Dominican Republic, Civil Registration, Deaths, 1838-2015 - FSI;[Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part G\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/overview];In Production;[Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part G\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/overview] \\ [Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part F\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/overview];[0990CD55-B22F-45A1-A79C-ED83A29EBA8E|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/manage/0990CD55-B22F-45A1-A79C-ED83A29EBA8E/batches/list] \\ [0990CD55-B22F-45A1-A79C-ED83A29EBA8E|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/manage/0990CD55-B22F-45A1-A79C-ED83A29EBA8E/batches/list];TEST \\ ACTIVE;
004552988;2020-10-22 13:57:23;16-0019: Dominican Republic, Civil Registration, Deaths, 1838-2015 - FSI \\ 16-0019: Dominican Republic, Civil Registration, Deaths, 1838-2015 - FSI;[Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part G\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/overview];In Production;[Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part G\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/overview] \\ [Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part F\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/overview];[D87FD512-8B3C-448F-945C-070FB2FAD524|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/manage/D87FD512-8B3C-448F-945C-070FB2FAD524/batches/list] \\ [D87FD512-8B3C-448F-945C-070FB2FAD524|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/manage/D87FD512-8B3C-448F-945C-070FB2FAD524/batches/list];TEST \\ ACTIVE;
004552991;2020-10-22 13:57:23;16-0019: Dominican Republic, Civil Registration, Deaths, 1838-2015 - FSI \\ 16-0019: Dominican Republic, Civil Registration, Deaths, 1838-2015 - FSI;[Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part G\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/overview];In Production;[Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part G\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/overview] \\ [Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part F\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/overview];[8BB241C2-ED40-4747-B9A4-8272996C00EA|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/manage/8BB241C2-ED40-4747-B9A4-8272996C00EA/batches/list] \\ [8BB241C2-ED40-4747-B9A4-8272996C00EA|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/manage/8BB241C2-ED40-4747-B9A4-8272996C00EA/batches/list];TEST \\ ACTIVE;
004552992;2020-10-22 13:57:23;16-0019: Dominican Republic, Civil Registration, Deaths, 1838-2015 - FSI \\ 16-0019: Dominican Republic, Civil Registration, Deaths, 1838-2015 - FSI;[Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part G\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/overview];In Production;[Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part G\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/overview] \\ [Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part F\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/overview];[767806CE-26D3-4F4C-8575-E64EC63B28FB|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/manage/767806CE-26D3-4F4C-8575-E64EC63B28FB/batches/list] \\ [767806CE-26D3-4F4C-8575-E64EC63B28FB|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/manage/767806CE-26D3-4F4C-8575-E64EC63B28FB/batches/list];TEST \\ ACTIVE;
004552993;2020-10-22 13:57:23;16-0019: Dominican Republic, Civil Registration, Deaths, 1838-2015 - FSI \\ 16-0019: Dominican Republic, Civil Registration, Deaths, 1838-2015 - FSI;[Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part G\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/overview];In Production;[Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part G\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/overview] \\ [Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part F\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/overview];[9AC32194-3E90-4E16-9330-B4BD1E51B30E|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/manage/9AC32194-3E90-4E16-9330-B4BD1E51B30E/batches/list] \\ [9AC32194-3E90-4E16-9330-B4BD1E51B30E|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/manage/9AC32194-3E90-4E16-9330-B4BD1E51B30E/batches/list];TEST \\ ACTIVE;
004552994;2020-10-22 13:57:23;16-0019: Dominican Republic, Civil Registration, Deaths, 1838-2015 - FSI \\ 16-0019: Dominican Republic, Civil Registration, Deaths, 1838-2015 - FSI;[Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part G\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/overview];In Production;[Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part G\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/overview] \\ [Dominican Republic—Civil Registration, Deaths, 1838–2015 \[Part F\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/overview];[302CE309-24EC-4293-9A5C-40940AB2440C|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/A2EFB865-A933-4CCE-93A7-EFCDC0B0B029/manage/302CE309-24EC-4293-9A5C-40940AB2440C/batches/list] \\ [302CE309-24EC-4293-9A5C-40940AB2440C|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C040EFAE-01E0-41FE-96FA-B58DA2AD92B0/manage/302CE309-24EC-4293-9A5C-40940AB2440C/batches/list];TEST \\ ACTIVE;
