dgs;project;imageset;Project State
007499274;[South Africa—Dutch Reformed Church in Africa, Baptism and Membership Records, 1838–1991 \[Part C\]|https:///www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/overview] \\ [South Africa—Dutch Reformed Church in Africa, Baptism and Membership Records, 1838–1991 \[Part B\]|https:///www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/overview];[D4C1A6BC-4E2E-4314-B5EC-E831E48CD23F|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/D4C1A6BC-4E2E-4314-B5EC-E831E48CD23F/batches/list] \\ [D4C1A6BC-4E2E-4314-B5EC-E831E48CD23F|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/D4C1A6BC-4E2E-4314-B5EC-E831E48CD23F/batches/list];ACTIVE \\ ACTIVE;
007499275;[South Africa—Dutch Reformed Church in Africa, Baptism and Membership Records, 1838–1991 \[Part C\]|https:///www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/overview] \\ [South Africa—Dutch Reformed Church in Africa, Baptism and Membership Records, 1838–1991 \[Part B\]|https:///www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/overview];[CE647C05-9318-4BA5-94D4-67F6E539EC04|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/CE647C05-9318-4BA5-94D4-67F6E539EC04/batches/list] \\ [CE647C05-9318-4BA5-94D4-67F6E539EC04|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/CE647C05-9318-4BA5-94D4-67F6E539EC04/batches/list];ACTIVE \\ ACTIVE;
007499276;[South Africa—Dutch Reformed Church in Africa, Baptism and Membership Records, 1838–1991 \[Part C\]|https:///www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/overview] \\ [South Africa—Dutch Reformed Church in Africa, Baptism and Membership Records, 1838–1991 \[Part B\]|https:///www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/overview];[481374F8-A1E9-4CC4-AA95-52C7AD87E2F5|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/481374F8-A1E9-4CC4-AA95-52C7AD87E2F5/batches/list] \\ [481374F8-A1E9-4CC4-AA95-52C7AD87E2F5|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/481374F8-A1E9-4CC4-AA95-52C7AD87E2F5/batches/list];ACTIVE \\ ACTIVE;
007499277;[South Africa—Dutch Reformed Church in Africa, Baptism and Membership Records, 1838–1991 \[Part C\]|https:///www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/overview] \\ [South Africa—Dutch Reformed Church in Africa, Baptism and Membership Records, 1838–1991 \[Part B\]|https:///www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/overview];[75F1EFED-FDDF-47A4-AACC-4FF0A1B89BA7|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/75F1EFED-FDDF-47A4-AACC-4FF0A1B89BA7/batches/list] \\ [75F1EFED-FDDF-47A4-AACC-4FF0A1B89BA7|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/75F1EFED-FDDF-47A4-AACC-4FF0A1B89BA7/batches/list];ACTIVE \\ ACTIVE;
007499278;[South Africa—Dutch Reformed Church in Africa, Baptism and Membership Records, 1838–1991 \[Part C\]|https:///www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/overview] \\ [South Africa—Dutch Reformed Church in Africa, Baptism and Membership Records, 1838–1991 \[Part B\]|https:///www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/overview];[C03D7B54-2998-4DAB-BB09-B5B9FBE064E8|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/C03D7B54-2998-4DAB-BB09-B5B9FBE064E8/batches/list] \\ [C03D7B54-2998-4DAB-BB09-B5B9FBE064E8|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/C03D7B54-2998-4DAB-BB09-B5B9FBE064E8/batches/list];ACTIVE \\ ACTIVE;
007499279;[South Africa—Dutch Reformed Church in Africa, Baptism and Membership Records, 1838–1991 \[Part C\]|https:///www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/overview] \\ [South Africa—Dutch Reformed Church in Africa, Baptism and Membership Records, 1838–1991 \[Part B\]|https:///www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/overview];[69F45915-47B6-41B5-B32E-1E916CD56FE0|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/69F45915-47B6-41B5-B32E-1E916CD56FE0/batches/list] \\ [69F45915-47B6-41B5-B32E-1E916CD56FE0|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/69F45915-47B6-41B5-B32E-1E916CD56FE0/batches/list];ACTIVE \\ ACTIVE;
007499285;[South Africa—Dutch Reformed Church in Africa, Baptism and Membership Records, 1838–1991 \[Part C\]|https:///www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/overview] \\ [South Africa—Dutch Reformed Church in Africa, Baptism and Membership Records, 1838–1991 \[Part B\]|https:///www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/overview];[BB8F0D1A-171C-4136-A002-410B3B7B63B2|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/BB8F0D1A-171C-4136-A002-410B3B7B63B2/batches/list] \\ [BB8F0D1A-171C-4136-A002-410B3B7B63B2|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/BB8F0D1A-171C-4136-A002-410B3B7B63B2/batches/list];ACTIVE \\ ACTIVE;
007499287;[South Africa—Dutch Reformed Church in Africa, Baptism and Membership Records, 1838–1991 \[Part C\]|https:///www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/overview] \\ [South Africa—Dutch Reformed Church in Africa, Baptism and Membership Records, 1838–1991 \[Part B\]|https:///www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/overview];[BEDA6B45-821B-4E7F-8164-D4FAC1E949E5|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/BEDA6B45-821B-4E7F-8164-D4FAC1E949E5/batches/list] \\ [BEDA6B45-821B-4E7F-8164-D4FAC1E949E5|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/BEDA6B45-821B-4E7F-8164-D4FAC1E949E5/batches/list];ACTIVE \\ ACTIVE;
007499288;[South Africa—Dutch Reformed Church in Africa, Baptism and Membership Records, 1838–1991 \[Part C\]|https:///www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/overview] \\ [South Africa—Dutch Reformed Church in Africa, Baptism and Membership Records, 1838–1991 \[Part B\]|https:///www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/overview];[2D3A54FA-1B1F-418C-B2D9-C227A932C6F2|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/2D3A54FA-1B1F-418C-B2D9-C227A932C6F2/batches/list] \\ [2D3A54FA-1B1F-418C-B2D9-C227A932C6F2|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/2D3A54FA-1B1F-418C-B2D9-C227A932C6F2/batches/list];ACTIVE \\ ACTIVE;
007499289;[South Africa—Dutch Reformed Church in Africa, Baptism and Membership Records, 1838–1991 \[Part C\]|https:///www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/overview] \\ [South Africa—Dutch Reformed Church in Africa, Baptism and Membership Records, 1838–1991 \[Part B\]|https:///www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/overview];[01B81D8D-A965-41D2-A470-F8913CC301F9|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/01B81D8D-A965-41D2-A470-F8913CC301F9/batches/list] \\ [01B81D8D-A965-41D2-A470-F8913CC301F9|https://www.familysearch.org/indexing/admin-new/#/projects/93B81F66-3E82-4286-9DF4-0BDD9604C602/manage/01B81D8D-A965-41D2-A470-F8913CC301F9/batches/list];ACTIVE \\ ACTIVE;
