dgs;Traveler: Project;Rosetta Assigned Project;Rosetta State;IDX Assigned Project;imageset;Project State;Projects with no Imageset workflow
102937180;16-1014: Finland, Kuopio, Tax Lists, 1810-1915 - FSI;;;[Suomi, Kuopio—Henkikirjat, 1809–1915 \[Osa A\]|https://www.familysearch.org/indexing/admin-new/#/projects/4E4A55D1-60F3-4713-8BC1-CEAA1C4A7161/overview];[B47287AC-68E2-4CA4-B5ED-B0CE2742F0B0|https://www.familysearch.org/indexing/admin-new/#/projects/4E4A55D1-60F3-4713-8BC1-CEAA1C4A7161/manage/B47287AC-68E2-4CA4-B5ED-B0CE2742F0B0/batches/list];ACTIVE;
102937181;16-1014: Finland, Kuopio, Tax Lists, 1810-1915 - FSI;;;[Suomi, Kuopio—Henkikirjat, 1809–1915 \[Osa A\]|https://www.familysearch.org/indexing/admin-new/#/projects/4E4A55D1-60F3-4713-8BC1-CEAA1C4A7161/overview];[FFD7E57A-B110-4787-B80A-A65250A2044F|https://www.familysearch.org/indexing/admin-new/#/projects/4E4A55D1-60F3-4713-8BC1-CEAA1C4A7161/manage/FFD7E57A-B110-4787-B80A-A65250A2044F/batches/list];ACTIVE;
102937182;16-1014: Finland, Kuopio, Tax Lists, 1810-1915 - FSI;;;[Suomi, Kuopio—Henkikirjat, 1809–1915 \[Osa A\]|https://www.familysearch.org/indexing/admin-new/#/projects/4E4A55D1-60F3-4713-8BC1-CEAA1C4A7161/overview];[3D6E29F2-7C96-4963-99EB-D151626A87AA|https://www.familysearch.org/indexing/admin-new/#/projects/4E4A55D1-60F3-4713-8BC1-CEAA1C4A7161/manage/3D6E29F2-7C96-4963-99EB-D151626A87AA/batches/list];ACTIVE;
102937183;16-1014: Finland, Kuopio, Tax Lists, 1810-1915 - FSI;;;[Suomi, Kuopio—Henkikirjat, 1809–1915 \[Osa A\]|https://www.familysearch.org/indexing/admin-new/#/projects/4E4A55D1-60F3-4713-8BC1-CEAA1C4A7161/overview];[977318BA-B4AA-4D8F-B778-66232191C903|https://www.familysearch.org/indexing/admin-new/#/projects/4E4A55D1-60F3-4713-8BC1-CEAA1C4A7161/manage/977318BA-B4AA-4D8F-B778-66232191C903/batches/list];ACTIVE;
102937184;16-1014: Finland, Kuopio, Tax Lists, 1810-1915 - FSI;;;[Suomi, Kuopio—Henkikirjat, 1809–1915 \[Osa A\]|https://www.familysearch.org/indexing/admin-new/#/projects/4E4A55D1-60F3-4713-8BC1-CEAA1C4A7161/overview];[DCC96F95-09EF-4CD1-96A5-933C1BC3F948|https://www.familysearch.org/indexing/admin-new/#/projects/4E4A55D1-60F3-4713-8BC1-CEAA1C4A7161/manage/DCC96F95-09EF-4CD1-96A5-933C1BC3F948/batches/list];ACTIVE;
102937185;16-1014: Finland, Kuopio, Tax Lists, 1810-1915 - FSI;;;[Suomi, Kuopio—Henkikirjat, 1809–1915 \[Osa A\]|https://www.familysearch.org/indexing/admin-new/#/projects/4E4A55D1-60F3-4713-8BC1-CEAA1C4A7161/overview];[4EF041A6-42EE-436F-9F51-6D6825F14500|https://www.familysearch.org/indexing/admin-new/#/projects/4E4A55D1-60F3-4713-8BC1-CEAA1C4A7161/manage/4EF041A6-42EE-436F-9F51-6D6825F14500/batches/list];ACTIVE;
102937186;16-1014: Finland, Kuopio, Tax Lists, 1810-1915 - FSI;;;[Suomi, Kuopio—Henkikirjat, 1809–1915 \[Osa A\]|https://www.familysearch.org/indexing/admin-new/#/projects/4E4A55D1-60F3-4713-8BC1-CEAA1C4A7161/overview];[7E58AB01-6EF8-45ED-B1D3-52EBAE775F2E|https://www.familysearch.org/indexing/admin-new/#/projects/4E4A55D1-60F3-4713-8BC1-CEAA1C4A7161/manage/7E58AB01-6EF8-45ED-B1D3-52EBAE775F2E/batches/list];ACTIVE;
102937187;16-1014: Finland, Kuopio, Tax Lists, 1810-1915 - FSI;;;[Suomi, Kuopio—Henkikirjat, 1809–1915 \[Osa A\]|https://www.familysearch.org/indexing/admin-new/#/projects/4E4A55D1-60F3-4713-8BC1-CEAA1C4A7161/overview];[2812FCA1-E1F8-4C67-ABC0-FDEB55E25A81|https://www.familysearch.org/indexing/admin-new/#/projects/4E4A55D1-60F3-4713-8BC1-CEAA1C4A7161/manage/2812FCA1-E1F8-4C67-ABC0-FDEB55E25A81/batches/list];ACTIVE;
102937188;16-1014: Finland, Kuopio, Tax Lists, 1810-1915 - FSI;;;[Suomi, Kuopio—Henkikirjat, 1809–1915 \[Osa A\]|https://www.familysearch.org/indexing/admin-new/#/projects/4E4A55D1-60F3-4713-8BC1-CEAA1C4A7161/overview];[A4B81723-E7C0-451D-B2FC-601A52804DE8|https://www.familysearch.org/indexing/admin-new/#/projects/4E4A55D1-60F3-4713-8BC1-CEAA1C4A7161/manage/A4B81723-E7C0-451D-B2FC-601A52804DE8/batches/list];ACTIVE;
102937189;16-1014: Finland, Kuopio, Tax Lists, 1810-1915 - FSI;;;[Suomi, Kuopio—Henkikirjat, 1809–1915 \[Osa A\]|https://www.familysearch.org/indexing/admin-new/#/projects/4E4A55D1-60F3-4713-8BC1-CEAA1C4A7161/overview];[0F4132E1-C2A4-4A0F-BB30-2DDB6D6637C9|https://www.familysearch.org/indexing/admin-new/#/projects/4E4A55D1-60F3-4713-8BC1-CEAA1C4A7161/manage/0F4132E1-C2A4-4A0F-BB30-2DDB6D6637C9/batches/list];ACTIVE;
